id,Name,Period,Stock,Percentage_of_portfolio,Shares,Recent_activity,Price,Value,Paresing_date,Ticker
2020Q2_19,Christopher Davis - Clipper,Q1 2020,AAIGF - AIA Group Ltd.,1.66,"1,418,970", ,$8.95,"$12,706,000",2020-06-07,AAIGF
2020Q2_20,Christopher Davis - Clipper,Q1 2020,NPSNY - Naspers Ltd,1.58,"84,630", ,$142.11,"$12,027,000",2020-06-07,NPSNY
2020Q2_21,Christopher Davis - Clipper,Q1 2020,WOSCF - Ferguson plc,1.58,"195,560",Reduce 14.15%,$61.83,"$12,092,000",2020-06-07,WOSCF
2020Q2_22,Christopher Davis - Clipper,Q1 2020,BAC - Bank of America Corp.,0.98,"353,910",Reduce 0.56%,$21.23,"$7,514,000",2020-06-07,BAC
2020Q2_23,Christopher Davis - Clipper,Q1 2020,RTN - Raytheon Co.,0.91,"53,080",Buy ,$131.14,"$6,961,000",2020-06-07,RTN
2020Q2_24,Christopher Davis - Clipper,Q1 2020,PROSF - Prosus NV,0.77,"84,160",Reduce 0.56%,$70.02,"$5,893,000",2020-06-07,PROSF
2020Q2_25,Christopher Davis - Clipper,Q1 2020,APA - Apache Corp.,0.73,"1,326,539",Reduce 0.56%,$4.18,"$5,545,000",2020-06-07,APA
2020Q2_26,Christopher Davis - Clipper,Q1 2020,ADNT - Adient plc,0.18,"152,809",Reduce 61.18%,$9.07,"$1,386,000",2020-06-07,ADNT
2020Q2_27,Meridian Funds - Meridian Contrarian Fund,Q1 2020,THS - TreeHouse Foods,4.68,"392,000",Add 19.15%,$44.15,"$17,307,000",2020-06-07,THS
2020Q2_28,Meridian Funds - Meridian Contrarian Fund,Q1 2020,VICI - VICI Properties Inc.,3.87,"859,493",Add 8.05%,$16.64,"$14,302,000",2020-06-07,VICI
2020Q2_29,Meridian Funds - Meridian Contrarian Fund,Q1 2020,NEM - Newmont Corp.,3.44,"281,000", ,$45.28,"$12,724,000",2020-06-07,NEM
2020Q2_30,Meridian Funds - Meridian Contrarian Fund,Q1 2020,TERP - TerraForm Power Inc.,3.36,"788,000",Reduce 28.56%,$15.77,"$12,427,000",2020-06-07,TERP
2020Q2_31,Meridian Funds - Meridian Contrarian Fund,Q1 2020,CACI - CACI International Inc.,3.20,"56,000",Add 37.25%,$211.14,"$11,824,000",2020-06-07,CACI
2020Q2_32,Meridian Funds - Meridian Contrarian Fund,Q1 2020,SEIC - SEI Investments,3.15,"251,000", ,$46.34,"$11,631,000",2020-06-07,SEIC
2020Q2_33,Meridian Funds - Meridian Contrarian Fund,Q1 2020,AMD - Advanced Micro Devices,3.04,"247,000",Reduce 14.83%,$45.48,"$11,234,000",2020-06-07,AMD
2020Q2_34,Meridian Funds - Meridian Contrarian Fund,Q1 2020,PRGO - Perrigo Co.,2.91,"224,000",Buy ,$48.09,"$10,772,000",2020-06-07,PRGO
2020Q2_35,Meridian Funds - Meridian Contrarian Fund,Q1 2020,NUAN - Nuance Communications Inc.,2.75,"605,000",Reduce 31.09%,$16.78,"$10,152,000",2020-06-07,NUAN
2020Q2_36,Meridian Funds - Meridian Contrarian Fund,Q1 2020,KW - Kennedy Wilson Holdings Inc.,2.72,"748,000", ,$13.42,"$10,038,000",2020-06-07,KW
2020Q2_37,Meridian Funds - Meridian Contrarian Fund,Q1 2020,VRNT - Verint Systems Inc.,2.65,"228,000", ,$43.00,"$9,804,000",2020-06-07,VRNT
2020Q2_38,Meridian Funds - Meridian Contrarian Fund,Q1 2020,WMS - Advanced Drainage Systems,2.58,"324,000",Add 21.35%,$29.44,"$9,539,000",2020-06-07,WMS
2020Q2_39,Meridian Funds - Meridian Contrarian Fund,Q1 2020,MATX - Matson Inc.,2.45,"295,592",Reduce 0.44%,$30.62,"$9,051,000",2020-06-07,MATX
2020Q2_40,Meridian Funds - Meridian Contrarian Fund,Q1 2020,SWCH - Switch Inc.,2.44,"625,656",Add 14.66%,$14.43,"$9,028,000",2020-06-07,SWCH
2020Q2_41,Meridian Funds - Meridian Contrarian Fund,Q1 2020,AIZ - Assurant Inc.,2.34,"83,000", ,$104.08,"$8,639,000",2020-06-07,AIZ
2020Q2_42,Meridian Funds - Meridian Contrarian Fund,Q1 2020,CFG - Citizens Financial Group Inc.,2.20,"431,409",Add 13.11%,$18.81,"$8,115,000",2020-06-07,CFG
2020Q2_43,Meridian Funds - Meridian Contrarian Fund,Q1 2020,CSL - Carlisle Companies,2.10,"62,000",Reduce 13.89%,$125.27,"$7,767,000",2020-06-07,CSL
2020Q2_44,Meridian Funds - Meridian Contrarian Fund,Q1 2020,AGR - Avangrid Inc.,2.10,"177,000",Add 2.15%,$43.78,"$7,749,000",2020-06-07,AGR
2020Q2_45,Meridian Funds - Meridian Contrarian Fund,Q1 2020,NOMD - Nomad Foods Ltd,2.00,"399,000",Reduce 6.99%,$18.56,"$7,405,000",2020-06-07,NOMD
2020Q2_46,Meridian Funds - Meridian Contrarian Fund,Q1 2020,SRCL - Stericycle Inc.,1.93,"147,000",Add 68.97%,$48.58,"$7,141,000",2020-06-07,SRCL
2020Q2_47,Meridian Funds - Meridian Contrarian Fund,Q1 2020,STT - State Street Corp.,1.92,"133,000", ,$53.27,"$7,085,000",2020-06-07,STT
2020Q2_48,Meridian Funds - Meridian Contrarian Fund,Q1 2020,FEYE - FireEye Inc.,1.78,"621,000",Reduce 9.08%,$10.58,"$6,570,000",2020-06-07,FEYE
2020Q2_49,Meridian Funds - Meridian Contrarian Fund,Q1 2020,DOC - Physicians Realty Trust,1.76,"465,614",Buy ,$13.94,"$6,491,000",2020-06-07,DOC
2020Q2_50,Meridian Funds - Meridian Contrarian Fund,Q1 2020,AIG - American International Group,1.75,"266,000",Add 10.37%,$24.25,"$6,451,000",2020-06-07,AIG
2020Q2_51,Meridian Funds - Meridian Contrarian Fund,Q1 2020,SBNY - Signature Bank,1.68,"77,000",Add 75.00%,$80.39,"$6,190,000",2020-06-07,SBNY
2020Q2_52,Meridian Funds - Meridian Contrarian Fund,Q1 2020,CRNC - Cerence Inc.,1.64,"394,250",Add 9.74%,$15.40,"$6,071,000",2020-06-07,CRNC
2020Q2_53,Meridian Funds - Meridian Contrarian Fund,Q1 2020,SKX - Skechers U.S.A. Inc.,1.59,"248,000",Reduce 13.89%,$23.74,"$5,888,000",2020-06-07,SKX
2020Q2_54,Meridian Funds - Meridian Contrarian Fund,Q1 2020,PENN - Penn National Gaming Inc.,1.53,"447,000",Reduce 10.06%,$12.65,"$5,655,000",2020-06-07,PENN
2020Q2_55,Meridian Funds - Meridian Contrarian Fund,Q1 2020,ABM - ABM Industries,1.52,"231,059", ,$24.36,"$5,629,000",2020-06-07,ABM
2020Q2_56,Meridian Funds - Meridian Contrarian Fund,Q1 2020,TRMB - Trimble Inc.,1.49,"173,156", ,$31.83,"$5,512,000",2020-06-07,TRMB
2020Q2_57,Meridian Funds - Meridian Contrarian Fund,Q1 2020,HUN - Huntsman Corp.,1.48,"379,000",Add 47.47%,$14.43,"$5,469,000",2020-06-07,HUN
2020Q2_58,Meridian Funds - Meridian Contrarian Fund,Q1 2020,MMSI - Merit Medical Systems Inc.,1.47,"173,810",Reduce 10.32%,$31.25,"$5,432,000",2020-06-07,MMSI
2020Q2_59,Meridian Funds - Meridian Contrarian Fund,Q1 2020,DCPH - Deciphera Pharmaceuticals Inc.,1.44,"129,000", ,$41.17,"$5,311,000",2020-06-07,DCPH
2020Q2_60,Meridian Funds - Meridian Contrarian Fund,Q1 2020,LOGM - LogMeIn Inc.,1.37,"61,000",Reduce 41.35%,$83.28,"$5,080,000",2020-06-07,LOGM
2020Q2_61,Meridian Funds - Meridian Contrarian Fund,Q1 2020,ACHC - Acadia Healthcare Co.,1.31,"264,000",Buy ,$18.35,"$4,844,000",2020-06-07,ACHC
2020Q2_62,Meridian Funds - Meridian Contrarian Fund,Q1 2020,MHK - Mohawk Industries,1.28,"62,000",Buy ,$76.24,"$4,727,000",2020-06-07,MHK
2020Q2_63,Meridian Funds - Meridian Contrarian Fund,Q1 2020,IMMU - Immunomedics Inc.,1.23,"338,000",Reduce 24.04%,$13.48,"$4,556,000",2020-06-07,IMMU
2020Q2_64,Meridian Funds - Meridian Contrarian Fund,Q1 2020,MU - Micron Technology Inc.,1.17,"103,000",Add 58.46%,$42.06,"$4,332,000",2020-06-07,MU
2020Q2_65,Meridian Funds - Meridian Contrarian Fund,Q1 2020,HI - Hillenbrand Inc.,1.10,"212,000",Add 17.78%,$19.11,"$4,051,000",2020-06-07,HI
2020Q2_66,Meridian Funds - Meridian Contrarian Fund,Q1 2020,HRTX - Heron Therapeutics Inc.,1.01,"317,790",Reduce 5.92%,$11.74,"$3,731,000",2020-06-07,HRTX
2020Q2_67,Meridian Funds - Meridian Contrarian Fund,Q1 2020,KEX - Kirby Corp.,0.93,"79,000",Buy ,$43.47,"$3,434,000",2020-06-07,KEX
2020Q2_68,Meridian Funds - Meridian Contrarian Fund,Q1 2020,EOG - EOG Resources,0.89,"92,000", ,$35.92,"$3,305,000",2020-06-07,EOG
2020Q2_69,Meridian Funds - Meridian Contrarian Fund,Q1 2020,PII - Polaris Inc.,0.86,"66,000",Reduce 44.54%,$48.15,"$3,178,000",2020-06-07,PII
2020Q2_70,Meridian Funds - Meridian Contrarian Fund,Q1 2020,AMBA - Ambarella Inc.,0.85,"65,000",Reduce 7.14%,$48.55,"$3,156,000",2020-06-07,AMBA
2020Q2_71,Meridian Funds - Meridian Contrarian Fund,Q1 2020,GPK - Graphic Packaging Hldg Co.,0.83,"250,000",Reduce 72.22%,$12.20,"$3,050,000",2020-06-07,GPK
2020Q2_72,Meridian Funds - Meridian Contrarian Fund,Q1 2020,PIC - Pivotal Investment Corp.,0.81,"301,869",Add 0.62%,$9.96,"$3,007,000",2020-06-07,PIC
2020Q2_73,Meridian Funds - Meridian Contrarian Fund,Q1 2020,LEA - Lear Corp.,0.81,"37,000",Reduce 13.95%,$81.24,"$3,006,000",2020-06-07,LEA
2020Q2_74,Meridian Funds - Meridian Contrarian Fund,Q1 2020,AQUA - Evoqua Water Technologies Corp.,0.76,"251,000",Buy ,$11.21,"$2,814,000",2020-06-07,AQUA
2020Q2_75,Meridian Funds - Meridian Contrarian Fund,Q1 2020,ON - ON Semiconductor Corp.,0.72,"215,000",Buy ,$12.44,"$2,675,000",2020-06-07,ON
2020Q2_76,Meridian Funds - Meridian Contrarian Fund,Q1 2020,NVDA - NVIDIA Corp.,0.71,"10,000",Reduce 52.38%,$263.60,"$2,636,000",2020-06-07,NVDA
2020Q2_77,Meridian Funds - Meridian Contrarian Fund,Q1 2020,AVD - American Vanguard Corp.,0.71,"181,000",Add 12.42%,$14.46,"$2,617,000",2020-06-07,AVD
2020Q2_78,Meridian Funds - Meridian Contrarian Fund,Q1 2020,HBI - Hanesbrands Inc.,0.68,"317,000",Reduce 48.03%,$7.87,"$2,495,000",2020-06-07,HBI
2020Q2_79,Meridian Funds - Meridian Contrarian Fund,Q1 2020,ZUO - Zuora Inc.,0.66,"303,000",Add 15.21%,$8.05,"$2,439,000",2020-06-07,ZUO
2020Q2_80,Meridian Funds - Meridian Contrarian Fund,Q1 2020,APTV - Aptiv PLC,0.53,"40,000",Buy ,$49.25,"$1,970,000",2020-06-07,APTV
2020Q2_81,Meridian Funds - Meridian Contrarian Fund,Q1 2020,ALBO - Albireo Pharma Inc.,0.53,"120,750",Add 40.82%,$16.37,"$1,977,000",2020-06-07,ALBO
2020Q2_82,Meridian Funds - Meridian Contrarian Fund,Q1 2020,EAT - Brinker International,0.51,"158,000",Reduce 25.82%,$12.01,"$1,898,000",2020-06-07,EAT
2020Q2_83,Meridian Funds - Meridian Contrarian Fund,Q1 2020,UHAL - AMERCO,0.47,"6,000",Buy ,$290.50,"$1,743,000",2020-06-07,UHAL
2020Q2_84,Meridian Funds - Meridian Contrarian Fund,Q1 2020,AXDX - Accelerate Diagnostics Inc.,0.45,"200,000", ,$8.33,"$1,666,000",2020-06-07,AXDX
2020Q2_85,Meridian Funds - Meridian Contrarian Fund,Q1 2020,ORTX - Orchard Therapeutics plc,0.41,"200,000",Add 66.67%,$7.53,"$1,506,000",2020-06-07,ORTX
2020Q2_86,Meridian Funds - Meridian Contrarian Fund,Q1 2020,DTIL - Precision BioSciences Inc.,0.37,"229,151", ,$6.03,"$1,382,000",2020-06-07,DTIL
2020Q2_87,Meridian Funds - Meridian Contrarian Fund,Q1 2020,AGS - PlayAGS Inc.,0.31,"435,000",Add 30.24%,$2.65,"$1,153,000",2020-06-07,AGS
2020Q2_88,Meridian Funds - Meridian Contrarian Fund,Q1 2020,VCTR - Victory Capital Holdings,0.22,"49,975",Buy ,$16.37,"$818,000",2020-06-07,VCTR
2020Q2_89,Meridian Funds - Meridian Contrarian Fund,Q1 2020,APA - Apache Corp.,0.21,"183,231",Buy ,$4.18,"$766,000",2020-06-07,APA
2020Q2_90,Meridian Funds - Meridian Contrarian Fund,Q1 2020,PLYA - Playa Hotels & Resorts N.V.,0.16,"339,000",Reduce 21.89%,$1.75,"$593,000",2020-06-07,PLYA
2020Q2_91,Meridian Funds - Meridian Contrarian Fund,Q1 2020,PZZA - Papa John's International,0.14,"10,000",Buy ,$53.40,"$534,000",2020-06-07,PZZA
2020Q2_92,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,GOOG - Alphabet Inc. CL C,7.17,"179,229",Reduce 16.53%,$1162.81,"$208,409,000",2020-06-07,GOOG
2020Q2_93,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,KMX - CarMax Inc.,6.09,"3,287,359",Add 15.93%,$53.83,"$176,959,000",2020-06-07,KMX
2020Q2_94,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,CNSWF - Constellation Software Inc.,5.98,"191,291",Reduce 4.17%,$908.85,"$173,854,000",2020-06-07,CNSWF
2020Q2_95,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,GOOGL - Alphabet Inc.,5.75,"143,715", ,$1161.95,"$166,990,000",2020-06-07,GOOGL
2020Q2_96,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,MA - Mastercard Inc.,5.04,"605,766",Reduce 13.59%,$241.56,"$146,329,000",2020-06-07,MA
2020Q2_97,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,ANET - Arista Networks Inc.,4.97,"712,948",Add 13.68%,$202.55,"$144,408,000",2020-06-07,ANET
2020Q2_98,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,SCHW - Charles Schwab,4.89,"4,225,820",Add 34.44%,$33.62,"$142,072,000",2020-06-07,SCHW
2020Q2_99,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,FB - Facebook Inc.,4.67,"814,141",Reduce 2.79%,$166.80,"$135,799,000",2020-06-07,FB
2020Q2_100,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,UNH - United Health Group Inc.,4.33,"504,853",Buy ,$249.38,"$125,900,000",2020-06-07,UNH
2020Q2_101,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,JEC - Jacobs Engineering Group,4.10,"1,503,678",Reduce 25.90%,$79.27,"$119,197,000",2020-06-07,JEC
2020Q2_102,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,ERFSF - Eurofins Scientific SE,3.99,"233,110",Add 0.29%,$497.41,"$115,951,000",2020-06-07,ERFSF
2020Q2_103,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,CACC - Credit Acceptance Corp.,3.68,"418,240",Add 1.95%,$255.69,"$106,940,000",2020-06-07,CACC
2020Q2_104,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,ACOPF - a2 Milk Company Ltd.,3.67,"10,433,710",Reduce 4.78%,$10.21,"$106,535,000",2020-06-07,ACOPF
2020Q2_105,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,BRK.B - Berkshire Hathaway CL B,3.63,"577,078",Add 2.89%,$182.83,"$105,507,000",2020-06-07,BRK.B
2020Q2_106,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,PROSF - Prosus NV,3.60,"1,502,955",Reduce 15.23%,$69.65,"$104,678,000",2020-06-07,PROSF
2020Q2_107,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,W - Wayfair Inc.,3.42,"1,860,202",Add 27.67%,$53.44,"$99,409,000",2020-06-07,W
2020Q2_108,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,FWONK - Liberty Media Corp Formula One Series C,3.35,"3,577,130",Reduce 3.32%,$27.23,"$97,405,000",2020-06-07,FWONK
2020Q2_109,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,VIVEF - Vivendi Universal S.A.,3.32,"4,473,446", ,$21.53,"$96,332,000",2020-06-07,VIVEF
2020Q2_110,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,BKNG - Booking Holdings Inc.,3.32,"71,748",Add 21.19%,$1345.32,"$96,524,000",2020-06-07,BKNG
2020Q2_111,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,LBRDK - Liberty Broadband Corp. CL C,2.79,"733,403",Reduce 24.34%,$110.72,"$81,202,000",2020-06-07,LBRDK
2020Q2_112,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,AMZN - Amazon Corp.,2.78,"41,386",Reduce 26.90%,$1949.72,"$80,691,000",2020-06-07,AMZN
2020Q2_113,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,RYCEF - Rolls Royce Holdings plc,2.66,"18,298,603",Add 9.73%,$4.23,"$77,414,000",2020-06-07,RYCEF
2020Q2_114,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,BRK.A - Berkshire Hathaway CL A,2.16,231,Reduce 61.31%,$272000.00,"$62,832,000",2020-06-07,BRK.A
2020Q2_115,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,HCXLF - Hiscox Ltd.,1.65,"4,168,266", ,$11.49,"$47,891,000",2020-06-07,HCXLF
2020Q2_116,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,LBRDA - Liberty Broadband Corp. CL A,1.56,"423,063", ,$107.00,"$45,268,000",2020-06-07,LBRDA
2020Q2_117,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,MLSPF - Melrose Industries PLC,1.37,"34,904,064", ,$1.14,"$39,669,000",2020-06-07,MLSPF
2020Q2_118,"Ruane, Cunniff & Goldfarb - Sequoia",Q1 2020,FWONA - Liberty Media Corp Formula One Series A,0.04,"43,582",Reduce 11.92%,$25.81,"$1,125,000",2020-06-07,FWONA
2020Q2_119,Bill Nygren - Oakmark Select,Q1 2020,GOOGL - Alphabet Inc.,11.08,"289,000",Add 12.45%,$1161.99,"$335,816,000",2020-06-07,GOOGL
2020Q2_120,Bill Nygren - Oakmark Select,Q1 2020,CBRE - CBRE Group,8.51,"6,845,000",Reduce 3.84%,$37.71,"$258,108,000",2020-06-07,CBRE
2020Q2_121,Bill Nygren - Oakmark Select,Q1 2020,NFLX - Netflix Inc.,7.14,"576,000", ,$375.63,"$216,363,000",2020-06-07,NFLX
2020Q2_122,Bill Nygren - Oakmark Select,Q1 2020,CHTR - Charter Communications,6.89,"479,000",Reduce 3.04%,$436.31,"$208,993,000",2020-06-07,CHTR
2020Q2_123,Bill Nygren - Oakmark Select,Q1 2020,C - Citigroup Inc.,6.13,"4,412,000", ,$42.12,"$185,833,000",2020-06-07,C
2020Q2_124,Bill Nygren - Oakmark Select,Q1 2020,REGN - Regeneron Pharmaceuticals,6.11,"379,000",Reduce 38.87%,$488.80,"$185,257,000",2020-06-07,REGN
2020Q2_125,Bill Nygren - Oakmark Select,Q1 2020,BAC - Bank of America Corp.,5.25,"7,501,000", ,$21.23,"$159,238,000",2020-06-07,BAC
2020Q2_126,Bill Nygren - Oakmark Select,Q1 2020,ALLY - Ally Financial Inc.,4.89,"10,280,000", ,$14.43,"$148,340,000",2020-06-07,ALLY
2020Q2_127,Bill Nygren - Oakmark Select,Q1 2020,FB - Facebook Inc.,4.73,"860,000",Buy ,$166.80,"$143,448,000",2020-06-07,FB
2020Q2_128,Bill Nygren - Oakmark Select,Q1 2020,TEL - TE Connectivity,4.54,"2,188,000", ,$62.98,"$137,796,000",2020-06-07,TEL
2020Q2_129,Bill Nygren - Oakmark Select,Q1 2020,STZ - Constellation Brands,4.45,"941,000",Buy ,$143.39,"$134,930,000",2020-06-07,STZ
2020Q2_130,Bill Nygren - Oakmark Select,Q1 2020,GE - General Electric,4.25,"16,240,000",Reduce 12.88%,$7.94,"$128,946,000",2020-06-07,GE
2020Q2_131,Bill Nygren - Oakmark Select,Q1 2020,BKNG - Booking Holdings Inc.,4.22,"95,000",Buy ,$1345.32,"$127,805,000",2020-06-07,BKNG
2020Q2_132,Bill Nygren - Oakmark Select,Q1 2020,COF - Capital One Financial,3.72,"2,235,000", ,$50.42,"$112,684,000",2020-06-07,COF
2020Q2_133,Bill Nygren - Oakmark Select,Q1 2020,AIG - American International Group,3.53,"4,419,000",Add 13.75%,$24.25,"$107,168,000",2020-06-07,AIG
2020Q2_134,Bill Nygren - Oakmark Select,Q1 2020,LEA - Lear Corp.,3.22,"1,200,000", ,$81.25,"$97,500,000",2020-06-07,LEA
2020Q2_135,Bill Nygren - Oakmark Select,Q1 2020,HLT - Hilton Worldwide Holdings,2.63,"1,166,000", ,$68.27,"$79,600,000",2020-06-07,HLT
2020Q2_136,Bill Nygren - Oakmark Select,Q1 2020,EOG - EOG Resources,2.04,"1,724,000",Buy ,$35.92,"$61,919,000",2020-06-07,EOG
2020Q2_137,Bill Nygren - Oakmark Select,Q1 2020,MGM - MGM Resorts International,2.00,"5,147,000", ,$11.80,"$60,735,000",2020-06-07,MGM
2020Q2_138,Bill Nygren - Oakmark Select,Q1 2020,QRTEA - Qurate Retail Group Inc. CL A,2.00,"9,944,000",Add 14.08%,$6.11,"$60,711,000",2020-06-07,QRTEA
2020Q2_139,Bill Nygren - Oakmark Select,Q1 2020,MA - Mastercard Inc.,1.12,"140,000",Reduce 9.68%,$241.56,"$33,819,000",2020-06-07,MA
2020Q2_140,Bill Nygren - Oakmark Select,Q1 2020,APA - Apache Corp.,0.84,"6,100,000", ,$4.18,"$25,498,000",2020-06-07,APA
2020Q2_141,Bill Nygren - Oakmark Select,Q1 2020,CXO - Concho Resources Inc.,0.70,"498,000",Reduce 70.88%,$42.89,"$21,358,000",2020-06-07,CXO
2020Q2_142,Robert Torray - Torray,Q1 2020,JNJ - Johnson & Johnson,5.36,"108,924", ,$131.13,"$14,283,000",2020-06-07,JNJ
2020Q2_143,Robert Torray - Torray,Q1 2020,AXP - American Express,5.27,"164,100", ,$85.61,"$14,049,000",2020-06-07,AXP
2020Q2_144,Robert Torray - Torray,Q1 2020,BRK.B - Berkshire Hathaway CL B,5.24,"76,400",Add 16.82%,$182.83,"$13,968,000",2020-06-07,BRK.B
2020Q2_145,Robert Torray - Torray,Q1 2020,INTC - Intel Corp.,5.13,"252,700", ,$54.12,"$13,676,000",2020-06-07,INTC
2020Q2_146,Robert Torray - Torray,Q1 2020,MMC - Marsh & McLennan,5.09,"156,818", ,$86.46,"$13,558,000",2020-06-07,MMC
2020Q2_147,Robert Torray - Torray,Q1 2020,CSCO - Cisco Systems,4.97,"336,900", ,$39.31,"$13,244,000",2020-06-07,CSCO
2020Q2_148,Robert Torray - Torray,Q1 2020,ETN - Eaton Corp.,4.85,"166,350", ,$77.69,"$12,924,000",2020-06-07,ETN
2020Q2_149,Robert Torray - Torray,Q1 2020,L - Loews Corp.,4.76,"364,400", ,$34.83,"$12,692,000",2020-06-07,L
2020Q2_150,Robert Torray - Torray,Q1 2020,BAC - Bank of America Corp.,4.70,"589,300", ,$21.23,"$12,511,000",2020-06-07,BAC
2020Q2_151,Robert Torray - Torray,Q1 2020,IBM - International Bus. Machines,4.31,"103,550", ,$110.93,"$11,487,000",2020-06-07,IBM
2020Q2_152,Robert Torray - Torray,Q1 2020,KHC - Kraft Heinz Co.,4.21,"453,395",Add 42.51%,$24.74,"$11,217,000",2020-06-07,KHC
2020Q2_153,Robert Torray - Torray,Q1 2020,JPM - JPMorgan Chase & Co.,4.07,"120,350",Add 21.44%,$90.03,"$10,835,000",2020-06-07,JPM
2020Q2_154,Robert Torray - Torray,Q1 2020,UNH - United Health Group Inc.,4.03,"43,050",Add 24.24%,$249.38,"$10,736,000",2020-06-07,UNH
2020Q2_155,Robert Torray - Torray,Q1 2020,CB - Chubb Limited,3.90,"92,950", ,$111.69,"$10,382,000",2020-06-07,CB
2020Q2_156,Robert Torray - Torray,Q1 2020,BP - BP plc,3.82,"417,620", ,$24.39,"$10,186,000",2020-06-07,BP
